elf, dying, 17, 17 : dwarf, able, 15, 26
elf, able, 17, 13 : dwarf, dying, 14, 25
elf, dying, 17, 15 : dwarf, able, 13, 19
dwarf, dying, 14, 17 : elf, able, 17, 14
dwarf, able, 13, 21 : elf, disabled, 17, 16
dwarf, able, 14, 16 : elf, dying, 16, 11
elf, able, 17, 20 : dwarf, dying, 14, 23
elf, able, 18, 18 : dwarf, dying, 13, 14
elf, dying, 17, 12 : dwarf, able, 15, 21
dwarf, able, 14, 21 : elf, dying, 17, 13
elf, able, 18, 19 : dwarf, dying, 13, 19
elf, dying, 18, 18 : dwarf, able, 14, 20
elf, able, 17, 14 : dwarf, disabled, 13, 18
elf, able, 18, 20 : dwarf, dying, 14, 22
dwarf, able, 15, 18 : elf, dying, 17, 12
dwarf, dying, 14, 19 : elf, able, 17, 14
elf, dying, 18, 14 : dwarf, able, 16, 22
elf, able, 18, 22 : dwarf, dying, 14, 16
elf, able, 18, 13 : dwarf, dying, 14, 24
elf, dying, 17, 12 : dwarf, able, 14, 23
elf, dying, 16, 17 : dwarf, able, 15, 23
elf, disabled, 16, 16 : dwarf, able, 13, 25
dwarf, disabled, 13, 21 : elf, able, 18, 17
elf, able, 17, 16 : dwarf, dying, 15, 22
dwarf, able, 14, 24 : elf, dying, 16, 11
dwarf, disabled, 15, 18 : elf, able, 17, 18
elf, able, 18, 22 : dwarf, disabled, 14, 26
elf, able, 17, 16 : dwarf, dying, 13, 19
elf, dying, 18, 12 : dwarf, able, 14, 26
elf, able, 17, 21 : dwarf, dying, 13, 20
elf, able, 17, 16 : dwarf, dying, 15, 25
elf, able, 18, 14 : dwarf, dying, 14, 18
elf, disabled, 16, 16 : dwarf, able, 14, 22
dwarf, able, 13, 20 : elf, dying, 18, 12
elf, dying, 16, 13 : dwarf, able, 15, 25
dwarf, dying, 14, 21 : elf, able, 18, 15
elf, able, 17, 19 : dwarf, dying, 14, 16
dwarf, dying, 13, 21 : elf, able, 16, 18
dwarf, dying, 13, 24 : elf, able, 19, 13
dwarf, able, 15, 19 : elf, dead, 18, 20
dwarf, dying, 13, 25 : elf, able, 17, 18
elf, disabled, 17, 19 : dwarf, able, 14, 21
elf, able, 18, 20 : dwarf, disabled, 14, 25
elf, able, 18, 17 : dwarf, disabled, 13, 23
dwarf, disabled, 12, 20 : elf, able, 18, 15
elf, able, 16, 19 : dwarf, disabled, 14, 20
elf, able, 17, 19 : dwarf, dying, 13, 19
elf, able, 18, 22 : dwarf, dying, 13, 23
elf, dying, 17, 17 : dwarf, able, 13, 24
dwarf, dying, 14, 23 : elf, able, 17, 16
elf, dying, 17, 19 : dwarf, able, 14, 20
dwarf, dying, 15, 19 : elf, able, 19, 12
elf, dying, 18, 16 : dwarf, able, 15, 24
dwarf, dying, 13, 20 : elf, able, 18, 13
elf, dying, 17, 18 : dwarf, able, 13, 19
dwarf, able, 14, 25 : elf, dying, 16, 19
dwarf, able, 12, 20 : elf, disabled, 17, 12
elf, dying, 16, 18 : dwarf, able, 14, 18
dwarf, able, 13, 21 : elf, dying, 17, 16
dwarf, dying, 14, 17 : elf, able, 17, 17
elf, dying, 17, 20 : dwarf, able, 13, 17
elf, able, 17, 15 : dwarf, dying, 13, 22
elf, disabled, 17, 17 : dwarf, able, 15, 23
elf, able, 18, 15 : dwarf, dying, 14, 23
elf, dying, 16, 18 : dwarf, able, 14, 19
dwarf, able, 14, 20 : elf, dying, 17, 18
elf, able, 17, 17 : dwarf, dying, 14, 18
dwarf, able, 14, 21 : elf, dying, 17, 13
elf, able, 18, 18 : dwarf, dying, 13, 21
dwarf, able, 12, 24 : elf, disabled, 16, 15
dwarf, able, 15, 26 : elf, dying, 17, 15
elf, able, 18, 15 : dwarf, dying, 14, 18
dwarf, able, 14, 20 : elf, dying, 17, 14
dwarf, able, 16, 28 : elf, dying, 18, 18
elf, able, 17, 10 : dwarf, dying, 12, 18
dwarf, able, 14, 25 : elf, disabled, 16, 16
elf, able, 18, 11 : dwarf, disabled, 15, 16
dwarf, dying, 14, 19 : elf, able, 17, 12
elf, able, 17, 20 : dwarf, disabled, 13, 24
elf, dying, 16, 13 : dwarf, able, 12, 22
dwarf, able, 14, 18 : elf, dying, 17, 11
elf, able, 18, 17 : dwarf, dying, 14, 20
elf, dying, 17, 14 : dwarf, able, 14, 26
elf, able, 18, 13 : dwarf, dying, 13, 19
elf, dying, 17, 12 : dwarf, able, 13, 24
dwarf, able, 16, 25 : elf, dying, 17, 12
elf, able, 18, 17 : dwarf, dying, 13, 21
elf, able, 19, 15 : dwarf, dying, 14, 23
elf, dying, 17, 13 : dwarf, able, 15, 22
dwarf, dying, 14, 24 : elf, able, 18, 16
dwarf, dying, 14, 20 : elf, able, 18, 18
elf, disabled, 18, 14 : dwarf, able, 14, 22
elf, able, 18, 10 : dwarf, able, 15, 26
elf, dying, 16, 15 : dwarf, able, 14, 19
elf, able, 17, 17 : dwarf, dying, 15, 24
dwarf, dying, 13, 21 : elf, able, 18, 20
elf, able, 17, 22 : dwarf, dying, 13, 22
dwarf, dying, 15, 25 : elf, able, 18, 19
elf, dying, 16, 17 : dwarf, able, 15, 24
elf, able, 18, 21 : dwarf, dying, 14, 21
dwarf, able, 14, 25 : elf, disabled, 16, 14
elf, able, 18, 21 : dwarf, dying, 14, 21
elf, dying, 18, 16 : dwarf, able, 14, 16
dwarf, able, 15, 17 : elf, dying, 17, 11
elf, dying, 16, 12 : dwarf, able, 14, 19
elf, dying, 16, 12 : dwarf, able, 13, 26
elf, able, 17, 16 : dwarf, dying, 14, 25
elf, able, 16, 13 : dwarf, dying, 14, 22
dwarf, dying, 14, 23 : elf, able, 19, 16
elf, able, 19, 19 : dwarf, dying, 14, 21
elf, dying, 18, 15 : dwarf, able, 14, 22
elf, able, 17, 21 : dwarf, dying, 13, 21
elf, able, 19, 20 : dwarf, dying, 14, 16
elf, able, 17, 17 : dwarf, dying, 13, 19
elf, dying, 17, 13 : dwarf, able, 14, 20
elf, dying, 17, 20 : dwarf, able, 15, 21
dwarf, able, 15, 24 : elf, dying, 17, 11
elf, dying, 17, 15 : dwarf, able, 16, 25
dwarf, able, 15, 22 : elf, disabled, 17, 18
elf, dead, 17, 14 : dwarf, able, 13, 24
elf, dying, 17, 19 : dwarf, able, 13, 18
elf, able, 17, 20 : dwarf, dying, 14, 19
elf, dying, 17, 15 : dwarf, able, 14, 20
elf, able, 17, 18 : dwarf, dying, 13, 18
elf, able, 18, 12 : dwarf, dying, 14, 23
dwarf, able, 15, 26 : elf, dying, 18, 15
dwarf, dying, 14, 21 : elf, able, 17, 18
elf, able, 17, 20 : dwarf, disabled, 13, 17
dwarf, dying, 12, 17 : elf, able, 17, 14
elf, dying, 17, 15 : dwarf, able, 15, 17
dwarf, able, 14, 21 : elf, dying, 17, 20
dwarf, dying, 15, 23 : elf, able, 18, 14
dwarf, able, 14, 19 : elf, disabled, 17, 17
dwarf, dying, 13, 14 : elf, able, 17, 12
elf, able, 17, 14 : dwarf, dying, 13, 20
elf, able, 17, 13 : dwarf, disabled, 13, 26
elf, able, 16, 13 : dwarf, dying, 15, 18
elf, able, 18, 19 : dwarf, dying, 14, 17
dwarf, able, 15, 16 : elf, dying, 19, 17
dwarf, dying, 14, 22 : elf, able, 17, 12
elf, dying, 17, 12 : dwarf, able, 14, 26
elf, able, 18, 22 : dwarf, disabled, 14, 21
dwarf, able, 13, 24 : elf, dying, 17, 16
elf, able, 16, 10 : dwarf, dying, 13, 23
elf, dying, 18, 15 : dwarf, able, 14, 23
elf, able, 17, 18 : dwarf, dying, 13, 21
elf, able, 18, 14 : dwarf, dying, 13, 19
dwarf, dying, 14, 25 : elf, able, 17, 20
elf, able, 18, 12 : dwarf, disabled, 14, 19
elf, disabled, 17, 16 : dwarf, able, 15, 24
elf, able, 18, 17 : dwarf, dying, 14, 20
dwarf, able, 14, 26 : elf, dying, 16, 18
dwarf, dying, 13, 20 : elf, able, 18, 20
elf, dying, 17, 14 : dwarf, able, 15, 25
dwarf, disabled, 14, 20 : elf, able, 19, 15
dwarf, dying, 14, 23 : elf, able, 17, 13
elf, dying, 18, 14 : dwarf, able, 13, 19
elf, able, 18, 17 : dwarf, dead, 13, 19
dwarf, able, 13, 28 : elf, dying, 18, 15
elf, able, 19, 12 : dwarf, disabled, 15, 24
dwarf, able, 14, 26 : elf, dying, 17, 18
elf, able, 17, 17 : dwarf, dying, 14, 24
elf, able, 18, 21 : dwarf, dying, 13, 17
elf, dying, 17, 19 : dwarf, able, 15, 25
dwarf, able, 14, 20 : elf, dying, 17, 13
dwarf, able, 13, 21 : elf, dying, 16, 10
elf, dying, 18, 16 : dwarf, able, 14, 18
dwarf, able, 15, 23 : elf, dying, 17, 13
elf, dying, 17, 11 : dwarf, able, 14, 18
dwarf, able, 13, 28 : elf, dying, 18, 12
elf, dying, 17, 15 : dwarf, able, 13, 18
elf, able, 17, 18 : dwarf, disabled, 13, 19
elf, dying, 17, 11 : dwarf, able, 15, 25
dwarf, able, 13, 21 : elf, dying, 17, 15
dwarf, dying, 14, 16 : elf, able, 17, 20
elf, able, 18, 16 : dwarf, dying, 15, 25
dwarf, dying, 14, 18 : elf, able, 19, 15
dwarf, able, 13, 25 : elf, dying, 18, 20
elf, able, 17, 15 : dwarf, dying, 14, 25
dwarf, dying, 14, 18 : elf, able, 18, 20
dwarf, able, 14, 22 : elf, dying, 17, 16
dwarf, dying, 14, 22 : elf, able, 17, 16
elf, able, 19, 13 : dwarf, dying, 14, 22
elf, able, 18, 21 : dwarf, dead, 13, 17
elf, able, 17, 17 : dwarf, dying, 12, 23
elf, able, 17, 16 : dwarf, disabled, 15, 18
elf, dying, 17, 16 : dwarf, able, 14, 19
elf, able, 18, 20 : dwarf, dying, 15, 23
elf, dying, 18, 13 : dwarf, able, 12, 23
elf, able, 17, 13 : dwarf, disabled, 14, 14
elf, disabled, 18, 13 : dwarf, able, 14, 26
elf, able, 18, 21 : dwarf, dying, 16, 18
elf, dying, 17, 17 : dwarf, able, 14, 22
dwarf, dying, 14, 20 : elf, able, 18, 15
dwarf, able, 13, 24 : elf, dying, 18, 19
elf, able, 17, 20 : dwarf, dying, 14, 24
elf, dying, 17, 16 : dwarf, able, 13, 24
elf, dying, 18, 20 : dwarf, able, 14, 20
elf, able, 18, 15 : dwarf, disabled, 12, 23
elf, dying, 17, 14 : dwarf, able, 14, 26
elf, dying, 16, 20 : dwarf, able, 13, 26
elf, able, 18, 15 : dwarf, disabled, 13, 18
elf, able, 17, 22 : dwarf, disabled, 14, 19
elf, able, 18, 18 : dwarf, dying, 13, 19
dwarf, able, 14, 20 : elf, dying, 16, 17
elf, dying, 17, 16 : dwarf, able, 13, 23
elf, dying, 17, 14 : dwarf, able, 14, 22
dwarf, able, 13, 22 : elf, dead, 17, 12
elf, able, 18, 19 : dwarf, dying, 13, 18
elf, able, 18, 12 : dwarf, dying, 12, 21
elf, able, 17, 18 : dwarf, dying, 13, 21
elf, able, 17, 17 : dwarf, dying, 14, 17
elf, able, 18, 19 : dwarf, dying, 13, 23
elf, dying, 17, 13 : dwarf, able, 14, 17
dwarf, able, 15, 27 : elf, dying, 18, 17
elf, dead, 18, 13 : dwarf, able, 14, 17
elf, able, 17, 15 : dwarf, dying, 13, 14
elf, dying, 19, 19 : dwarf, able, 12, 21
elf, dying, 17, 14 : dwarf, able, 14, 22
elf, able, 18, 20 : dwarf, disabled, 15, 23
elf, dying, 18, 17 : dwarf, able, 14, 25
dwarf, able, 14, 24 : elf, dying, 17, 18
elf, dying, 17, 16 : dwarf, able, 15, 19
elf, able, 17, 19 : dwarf, dying, 14, 17
elf, able, 18, 19 : dwarf, dying, 12, 22
elf, dying, 17, 10 : dwarf, able, 14, 16
dwarf, able, 14, 23 : elf, dying, 17, 21
elf, able, 17, 18 : dwarf, dead, 15, 20
elf, able, 17, 20 : dwarf, dying, 12, 20
elf, able, 17, 18 : dwarf, dying, 14, 25
dwarf, able, 15, 22 : elf, disabled, 17, 15
elf, able, 17, 17 : dwarf, dying, 14, 24
elf, able, 17, 22 : dwarf, disabled, 13, 22
dwarf, able, 14, 22 : elf, dying, 17, 16
elf, able, 16, 18 : dwarf, dying, 14, 21
dwarf, able, 14, 21 : elf, disabled, 16, 13
dwarf, able, 13, 22 : elf, dying, 17, 19
dwarf, dead, 16, 20 : elf, able, 18, 19
elf, disabled, 17, 16 : dwarf, able, 13, 26
dwarf, able, 14, 16 : elf, dead, 17, 12
elf, dying, 18, 14 : dwarf, able, 14, 22
dwarf, able, 12, 20 : elf, dying, 17, 10
dwarf, dying, 14, 18 : elf, able, 17, 19
elf, dead, 17, 20 : dwarf, able, 15, 24
elf, dying, 17, 15 : dwarf, able, 14, 19
elf, able, 18, 16 : dwarf, dying, 14, 23
elf, able, 16, 15 : dwarf, disabled, 13, 23
elf, able, 17, 19 : dwarf, dying, 12, 17
elf, able, 18, 16 : dwarf, dead, 15, 18
elf, dying, 17, 13 : dwarf, able, 15, 25
elf, able, 19, 17 : dwarf, dying, 13, 21
elf, able, 17, 13 : dwarf, disabled, 14, 18
dwarf, able, 13, 22 : elf, dying, 17, 16
elf, able, 18, 13 : dwarf, dying, 14, 23
dwarf, dying, 13, 16 : elf, able, 17, 15
elf, dying, 18, 12 : dwarf, able, 14, 24
elf, dying, 18, 15 : dwarf, able, 16, 23
elf, able, 18, 22 : dwarf, able, 14, 18
dwarf, able, 15, 24 : elf, able, 17, 20
elf, able, 17, 19 : dwarf, able, 13, 19
dwarf, able, 13, 18 : elf, able, 17, 18
dwarf, able, 14, 19 : elf, able, 17, 17
dwarf, able, 14, 19 : elf, able, 17, 15
elf, dead, 17, 22 : dwarf, able, 13, 20
elf, able, 17, 15 : dwarf, able, 15, 23
dwarf, able, 14, 22 : elf, able, 17, 15
elf, able, 16, 18 : dwarf, able, 14, 17
elf, able, 17, 18 : dwarf, able, 14, 23
dwarf, able, 14, 20 : elf, able, 18, 19
elf, disabled, 17, 14 : dwarf, able, 14, 26
elf, able, 19, 17 : dwarf, able, 13, 23
elf, able, 17, 14 : dwarf, able, 12, 17
elf, able, 17, 19 : dwarf, able, 14, 21
dwarf, able, 14, 25 : elf, able, 18, 15
elf, able, 17, 15 : dwarf, able, 14, 25
elf, able, 17, 15 : dwarf, able, 14, 16
elf, able, 17, 19 : dwarf, able, 15, 19
elf, able, 17, 12 : dwarf, able, 14, 19
dwarf, able, 13, 24 : elf, able, 17, 15
elf, able, 17, 14 : dwarf, able, 14, 17
dwarf, able, 12, 19 : elf, able, 18, 12
elf, able, 18, 17 : dwarf, able, 14, 19
elf, able, 18, 17 : dwarf, able, 13, 20
dwarf, able, 13, 26 : elf, able, 18, 18
elf, able, 18, 16 : dwarf, able, 12, 24
elf, able, 16, 13 : dwarf, able, 13, 25
elf, able, 17, 18 : dwarf, able, 13, 20
elf, able, 16, 12 : dwarf, able, 16, 18
dwarf, able, 13, 19 : elf, able, 17, 14
elf, able, 18, 18 : dwarf, able, 12, 22
dwarf, able, 14, 18 : elf, dying, 18, 15
elf, able, 16, 13 : dwarf, able, 13, 26
elf, able, 18, 12 : dwarf, able, 14, 20
dwarf, able, 14, 22 : elf, able, 17, 13
dwarf, able, 14, 17 : elf, able, 17, 19
dwarf, able, 14, 24 : elf, able, 17, 17
elf, able, 18, 10 : dwarf, able, 15, 22
dwarf, able, 15, 20 : elf, able, 17, 12
elf, dying, 17, 15 : dwarf, able, 12, 22
dwarf, able, 14, 21 : elf, able, 18, 13
elf, able, 17, 12 : dwarf, able, 12, 16
elf, able, 19, 21 : dwarf, able, 14, 21
dwarf, able, 15, 21 : elf, able, 16, 16
elf, dying, 17, 16 : dwarf, able, 13, 23
dwarf, able, 14, 22 : elf, able, 17, 14
elf, able, 17, 20 : dwarf, able, 14, 24
elf, able, 18, 10 : dwarf, able, 14, 20
elf, able, 18, 15 : dwarf, able, 14, 23
elf, able, 18, 19 : dwarf, able, 15, 26
elf, dying, 19, 17 : dwarf, able, 14, 21
elf, able, 18, 19 : dwarf, able, 15, 19
dwarf, able, 14, 22 : elf, able, 16, 15
dwarf, able, 13, 18 : elf, dying, 17, 13
elf, able, 18, 20 : dwarf, able, 14, 19
elf, able, 18, 17 : dwarf, able, 15, 23
elf, dying, 17, 16 : dwarf, able, 15, 22
elf, able, 18, 23 : dwarf, able, 13, 24
elf, able, 17, 18 : dwarf, able, 13, 19
elf, able, 18, 21 : dwarf, able, 14, 24
elf, able, 18, 14 : dwarf, able, 13, 24
elf, able, 17, 20 : dwarf, dying, 12, 16
dwarf, able, 15, 23 : elf, able, 17, 16
dwarf, able, 15, 21 : elf, able, 17, 16
dwarf, able, 15, 19 : elf, able, 16, 17
elf, able, 17, 17 : dwarf, able, 13, 16
elf, able, 17, 15 : dwarf, dying, 15, 25
dwarf, able, 15, 22 : elf, able, 17, 10
dwarf, able, 13, 22 : elf, able, 17, 15
elf, disabled, 17, 14 : dwarf, able, 15, 21
elf, able, 18, 19 : dwarf, able, 14, 20
elf, able, 16, 14 : dwarf, able, 14, 20
elf, able, 18, 14 : dwarf, dying, 13, 14
elf, able, 18, 16 : dwarf, dead, 14, 16
elf, able, 17, 17 : dwarf, able, 14, 26
elf, disabled, 16, 10 : dwarf, able, 15, 22
elf, able, 18, 20 : dwarf, able, 15, 18
elf, able, 17, 20 : dwarf, dying, 13, 20
elf, able, 18, 15 : dwarf, dead, 13, 17
elf, able, 18, 20 : dwarf, dying, 13, 22
dwarf, dying, 14, 18 : elf, able, 16, 14
elf, able, 16, 15 : dwarf, dying, 14, 20
dwarf, able, 13, 18 : elf, able, 18, 16
dwarf, dying, 14, 24 : elf, able, 17, 15
elf, able, 16, 14 : dwarf, dying, 13, 23
elf, able, 17, 11 : dwarf, able, 14, 25
dwarf, dying, 14, 20 : elf, able, 18, 19
elf, able, 18, 14 : dwarf, able, 13, 21
elf, able, 18, 15 : dwarf, dead, 12, 19
dwarf, dying, 12, 23 : elf, able, 17, 14
elf, able, 17, 17 : dwarf, dying, 12, 17
elf, dying, 17, 12 : dwarf, able, 14, 17
dwarf, dying, 14, 24 : elf, able, 18, 12
elf, able, 17, 14 : dwarf, dying, 15, 20
elf, disabled, 17, 13 : dwarf, able, 14, 25
elf, dead, 17, 18 : dwarf, able, 14, 26
elf, able, 18, 20 : dwarf, dying, 12, 20
elf, able, 18, 19 : dwarf, dead, 12, 19
dwarf, dying, 13, 23 : elf, able, 18, 18
elf, able, 17, 14 : dwarf, dying, 14, 18
elf, able, 18, 15 : dwarf, dying, 13, 21
dwarf, dead, 13, 23 : elf, able, 17, 17
dwarf, able, 13, 21 : elf, dead, 17, 14
elf, able, 19, 13 : dwarf, dead, 14, 16
elf, able, 17, 20 : dwarf, dead, 14, 23
elf, able, 17, 16 : dwarf, dying, 13, 18
elf, able, 18, 14 : dwarf, dying, 14, 24
elf, able, 17, 17 : dwarf, dying, 14, 19
dwarf, dead, 12, 19 : elf, able, 16, 13
dwarf, dying, 12, 19 : elf, able, 17, 16
dwarf, dead, 13, 16 : elf, able, 17, 13
dwarf, dead, 14, 20 : elf, able, 17, 14
elf, able, 18, 19 : dwarf, dead, 14, 18
dwarf, able, 14, 16 : elf, dying, 17, 19
elf, dying, 17, 18 : dwarf, able, 14, 20
elf, dying, 17, 18 : dwarf, able, 15, 22
elf, dying, 18, 21 : dwarf, able, 14, 20
elf, dying, 17, 13 : dwarf, able, 15, 22
elf, dead, 17, 17 : dwarf, able, 14, 24
elf, able, 17, 16 : dwarf, dying, 14, 26
elf, dying, 17, 13 : dwarf, able, 14, 18
elf, able, 18, 20 : dwarf, dying, 13, 23
elf, able, 17, 17 : dwarf, dying, 14, 20
